"BHK","Rent","Size","Current_floor","Total_floor","Area_type","Area_locality","City","Furnishing_status","Tenant_preferred","Bathroom","Contact"
2,10000,1100,0,2,"Super","Bandel","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,20000,800,1,3,"Super","Phool Bagan, Kankurgachi","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,17000,1000,1,3,"Super","Salt Lake City Sector 2","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,10000,800,1,2,"Super","Dumdum Park","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,7500,850,1,2,"Carpet","South Dum Dum","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,7000,600,0,1,"Super","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,10000,700,0,4,"Super","Malancha","Kolkata","Unfurnished","Bachelors",2,"Agent"
1,5000,250,1,2,"Super","Malancha","Kolkata","Unfurnished","Bachelors",1,"Agent"
2,26000,800,1,2,"Carpet","Palm Avenue Kolkata, Ballygunge","Kolkata","Unfurnished","Bachelors",2,"Agent"
2,10000,1000,1,3,"Carpet","Natunhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Owner"
3,25000,1200,1,4,"Carpet","Action Area 1, Rajarhat Newtown","Kolkata","Semi-Furnished","Bachelors/Family",2,"Agent"
1,5000,400,1,1,"Carpet","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
1,6500,250,1,4,"Carpet","Tarulia, Keshtopur","Kolkata","Furnished","Bachelors",1,"Owner"
1,5500,375,1,2,"Carpet","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Agent"
3,8500,900,0,2,"Carpet","Paschim Barisha","Kolkata","Unfurnished","Bachelors",2,"Owner"
3,40000,1286,1,1,"Carpet","New Town Action Area 1","Kolkata","Furnished","Bachelors/Family",2,"Owner"
2,6000,600,1,2,"Super","Barasat","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,10000,800,0,2,"Super","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,11000,2000,0,3,"Carpet","Behala Chowrasta","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,6000,660,1,2,"Super","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,7900,650,1,2,"Carpet","Santoshpur","Kolkata","Unfurnished","Family",1,"Owner"
2,9000,400,2,3,"Carpet","Garia Station, Garia","Kolkata","Unfurnished","Bachelors",2,"Owner"
1,4000,300,0,4,"Carpet","Garia Station, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
3,6500,1600,0,2,"Super","Joka","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,8000,400,1,2,"Super","Sreebhumi","Kolkata","Semi-Furnished","Bachelors",1,"Agent"
2,7000,1000,1,1,"Super","Rajarhat","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
1,5300,355,1,1,"Carpet","Dum Dum","Kolkata","Semi-Furnished","Bachelors/Family",1,"Agent"
2,6000,1000,0,3,"Super","Kodalia, Hooghly-Chinsurah","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,8500,800,4,5,"Super","Baguiati","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,12500,850,0,2,"Super","Rabindra Sarobar Area, Dhakuria","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
1,7500,350,0,2,"Carpet","Baghajatin","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,15000,900,0,2,"Carpet","Project Kaikhali, Vip Road","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
2,6000,550,1,1,"Super","Vip Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,5000,500,0,2,"Carpet","Baruipur","Kolkata","Unfurnished","Bachelors/Family",2,"Owner"
3,22000,1100,2,3,"Carpet","Dumdum Park","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,15000,850,1,2,"Carpet","Sreebhumi","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,12500,800,2,2,"Carpet","Shyam Bazar","Kolkata","Unfurnished","Bachelors",1,"Agent"
2,7000,630,0,3,"Carpet","Birati","Kolkata","Unfurnished","Bachelors",1,"Owner"
2,21000,900,1,2,"Carpet","Bansdroni","Kolkata","Semi-Furnished","Bachelors",2,"Owner"
1,10000,270,1,2,"Carpet","Jadavpur University","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
2,7200,630,0,1,"Carpet","Birati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
3,12000,1500,0,2,"Carpet","Bhadrakali","Kolkata","Furnished","Bachelors",2,"Owner"
1,5000,600,2,5,"Super","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Owner"
2,8500,700,4,14,"Carpet","Baruipur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
1,6000,300,0,3,"Super","Ballygunge","Kolkata","Semi-Furnished","Bachelors/Family",1,"Owner"
